날짜,지점,강수량(mm),,,,,,,,,,,0
2019.8.2,115,,,,,,,,,,,,
2019.8.3,115,,,,,,,,,,,,
2019.8.4,115,,,,,,,,,,,,
2019.8.5,115,,,,,,,,,,,,
2019.8.6,115,0.2,,,,,,,,,,,
2019.8.7,115,0.7,,,,,,,,,,,
2019.8.8,115,0,,,,,,,,,,,
2019.8.9,115,0,,,,,,,,,,,
2019.8.10,115,,,,,,,,,,,,
2019.8.11,115,,,,,,,,,,,,
2019.8.12,115,,,,,,,,,,,,
2019.8.13,115,,,,,,,,,,,,
2019.8.14,115,0.4,,,,,,,,,,,
2019.8.15,115,17.5,,,,,,,,,,,
2019.8.16,115,14.7,,,,,,,,,,,
2019.8.17,115,,,,,,,,,,,,
2019.8.18,115,,,,,,,,,,,,
2019.8.19,115,,,,,,,,,,,,
2019.8.20,115,,,,,,,,,,,,
2019.8.21,115,,,,,,,,,,,,
2019.8.22,115,2.4,,,,,,,,,,,
2019.8.23,115,,,,,,,,,,,,
2019.8.24,115,,,,,,,,,,,,
2019.8.25,115,0,,,,,,,,,,,
2019.8.26,115,0,,,,,,,,,,,
2019.8.27,115,5.1,,,,,,,,,,,
2019.8.28,115,0,,,,,,,,,,,
2019.8.29,115,,,,,,,,,,,,
2019.8.30,115,,,,,,,,,,,,
2019.8.31,115,,,,,,,,,,,,
2019.9.1,115,,,,,,,,,,,,
2019.9.2,115,0,,,,,,,,,,,
2019.9.3,115,10.9,,,,,,,,,,,
2019.9.4,115,32.2,,,,,,,,,,,
2019.9.5,115,0,,,,,,,,,,,
2019.9.6,115,,,,,,,,,,,,
2019.9.7,115,,,,,,,,,,,,
2019.9.8,115,0,,,,,,,,,,,
2019.9.9,115,0,,,,,,,,,,,
2019.9.10,115,,,,,,,,,,,,
2019.9.11,115,35.2,,,,,,,,,,,
2019.9.12,115,,,,,,,,,,,,
2019.9.13,115,0,,,,,,,,,,,
2019.9.14,115,,,,,,,,,,,,
2019.9.15,115,0,,,,,,,,,,,
